€625,000 	 Curraghmore, Belcarra, Castlebar, Co Mayo
AMV €235,000 	 5 Ard Na Mara, Louisburgh, Mayo
€55,000 	 29 Ardroe, Lisnaboley, Claremorris, Mayo
AMV €135,000 	 Tawnameeltoge, Cuilmore, Newport, Mayo
€95,000 	 69 Saint Mary`s Park, Crossmolina, Mayo
AMV €168,000 	 1 Cluain Ri, Bunowen, Louisburgh, Mayo
AMV €80,000 	 Lisduff, Irishtown, Ballindine, Mayo
€102,000 	 407 Ridgepool View, Barrett Street,, Ballina, Mayo
POA 	 Two Apartments/ Suites , The Lodges, Breaffy Resort , Castlebar, Mayo
€235,000 	 Park Road, Swinford, Mayo
AMV €245,000  -€30,000 on 5th Oct 19 	 ONLINE AUCTION Camcloon More, Newport, Mayo
€110,000 	 Saint Joseph\'s, 14 Drumcrest, Knock, Co. Mayo
€95,000 	 Srah Upper, Carracastle, Charlestown, Mayo
€99,000 	 CloonironF45AN83, Kilmovee, Mayo
AMV €250,000 	 1,2 & 3 Sli Na Slainte, Achill, Mayo
€88,500 	 Apt  19, Meadowcourt, Elm Park,, Claremorris, Mayo
AMV €160,000 	 101,104,106,109 Docklands, Barrack Street, Belmullet, Mayo
€300,000 	 Goulboy, Kiltimagh, Mayo
€159,500 	 No. 108 Chestnut Grove , Castlebar, Mayo
Reserve Not To Exceed €90,000 	 33 Quignalecka, Ballina, Co. Mayo
Reserve Not To Exceed €100,000 	 Brackloonagh (Folio MY33178), Crossmolina, Co. Mayo
